spare_cap_sq,spare_cap_x_conc,spare_cap_x_wl_total,vol_top3_share,n_high_asr_items
589955521,6768.5434430919995,16961818.3325237,0.490608855197721,1
74149321,2454.517896726,10444425.419537,0.32089367666052926,1
337714129,5359.124464707,15934390.416054102,0.5192502723209255,0
300640921,5501.874987392001,16724910.4160887,0.4997650121109143,0
156725361,3737.971105479,13786548.75,0.44770789076690987,0
156375025,3155.30124085,13213616.670835,0.45754731497153406,0
218832849,3599.2058057940003,14990239.995069,0.4164597609825537,0
159415876,3918.682782632,13457211.662458,0.44918761969481685,0
381225625,5669.015041525,18491802.0826825,0.5332286555446516,0
577152576,6760.792494456,18148130.0008008,0.5423340961098398,0
491863684,5028.60689656,15644730.8340726,0.5145035492069057,1
134420836,2862.9185589179997,12265485.837198,0.48670897443573014,0
108555561,3150.3044685,12711180.0,0.3474162112142506,1
400440121,6476.696685053,17376218.3326663,0.4060586658129577,1
268960000,4475.8041632,15730333.33388,0.47472027972027975,0
511800129,7411.268534696999,18126678.75,0.5347901863520579,0
154455184,3644.7255569920003,13707048.337476,0.4163698882475746,1
159617956,3257.734346798,13223586.670877999,0.440369523574121,0
54908100,2063.51889744,9870737.49753,0.3553072625698324,1
581581456,4437.512860232,16820910.0,0.6395326565791993,0
443818489,4390.515514683,16563928.75,0.5889775623615928,0
663165504,7298.203429728,16663689.999141602,0.577930174563591,0
413512225,6850.083177875,17174602.0826555,0.5779444557064667,0
427372929,5011.63817409,15694252.500689099,0.47215028569079626,1
75968656,2682.759924536,11062056.669572,0.423244405247492,0
1132457104,5879.756320288,11007008.3322116,0.8167077899189285,1
1650959424,0.0,5282160.0,1.0,0
353064100,5593.517159079999,16175058.332707,0.4299122472338802,0
457275456,5788.218532536001,16617149.999287201,0.5326897018970189,0
119858704,2880.525302144,12786351.670316,0.34291671561141784,0
119771136,3364.668077184,13698240.003648,0.40547921071176884,0
192876544,3724.101767232,13835920.0,0.41893803034199023,1
1154368576,2379.621756464,10306053.3322008,1.0,0
304781764,3577.938940534,15079347.5,0.47324086849175806,1
128913316,3370.055574214,13061830.837118,0.3496700945134637,0
323280400,5678.45041442,16092100.0,0.50099925980755,0
480135744,6387.316819224,16516170.0,0.522002772002772,0
254338704,5058.416095956,16041029.994684001,0.48072421864243425,0
79834225,2499.6854429000005,10625204.169645,0.4122556495216969,0
122522761,2677.592173693,11359561.25,0.411747369661961,1
295221124,4664.685046406,15334935.0,0.524013228844633,0
48650625,1426.8027008249999,8811749.997675,0.35124260355029585,1
307616521,5141.371655976,16340501.667251298,0.4202323294854521,0
145902241,3694.732443824,13533512.920692999,0.42422769660702897,0
171976996,2868.75333228,13556597.5,0.40876873863137425,1
230462761,4499.470949291001,16958442.078273002,0.4555484758040176,0
283417225,5493.096055720001,17304977.088944998,0.44864193147523523,0
21003889,1157.5318801570002,5835686.665139,0.3355518717371403,1
653518096,7472.106647235999,15359703.332481202,0.6977773204363038,0
146942884,3862.778130926,13687758.337374,0.4335726017397652,0
521482896,6701.911106879999,17393420.0007612,0.48177224327738677,0
520934976,7386.107803272,19552560.000760797,0.4298791486291486,0
464402500,6131.5445234,16431875.0,0.57727078891258,0
184036356,3566.976630546,13933412.495478,0.4248902462301966,1
75742209,2171.143780596,10051965.0,0.3679642945697992,1
236667456,4407.680178048,15396819.994872,0.41767963263101027,0
234733041,3900.4888027589996,15167790.0,0.4060783719128003,0
340623936,5703.48019632,18209920.0006152,0.42378691983122363,0
219543489,4028.0884406070004,15607239.995061,0.38687340555942085,0
414936900,5872.368749939999,18630062.499321003,0.45164433617539584,0
407393856,5574.4125786,17400289.9993272,0.4738878143133462,0
204633025,4101.944087375,14543416.671435,0.4777325297279687,0
176013289,4002.341143742,14781649.171089,0.46210569438754606,0
271129156,5260.932347364,15793638.3338822,0.49957944907829255,0
173185600,3927.78751652,15128516.66228,0.45348618090452264,0
3168400,474.15363032,2453433.33274,0.31580286904211013,1
79619929,2736.5519949850004,11458619.169641,0.40646395210244757,0
76492516,1938.970830444,10178157.5,0.37408285982236444,1
416364025,6310.372046825,18270977.0840135,0.5137629599512096,0
341954064,5573.100449508,17228380.000616398,0.40282178964840804,0
401521444,4555.784715766,16389414.1673346,0.48129156317602756,1
23785129,1034.556990707,6234431.665041001,0.33801061735164367,1
22259524,-1357.840055586,-8116925.834906,0.26215857435938694,1
313644100,4825.19030532,15392941.667257,0.5148039574935874,0
215737344,4039.3697198400005,15630480.004896,0.44741356558458695,0
306390016,4900.538884703999,15082613.333916798,0.5184390456793715,0
104305369,2497.335499932,11417282.920071,0.3923592146491505,1
167236624,3649.237512092,13443891.662356,0.42291380815766494,1
198753604,3855.9929000599996,14121496.671365999,0.49695812568765774,0
153636025,3183.1501951349996,13541537.5,0.40226959055359607,1
335402596,3689.0800955219997,14139934.1660562,0.508206550251068,1
84419344,2810.261176936,11274441.663604,0.3780017871104658,1
90630400,2488.78598248,10721900.0,0.3822435174746336,1
158709604,4169.1988627420005,14645175.0,0.4177828529103142,0
59413264,2122.0633575879997,9721715.0,0.3636704923307948,1
594433161,8147.865105386999,18174003.7508127,0.6068674523497745,0
212284900,3867.6298848499996,13981129.166181,0.44485704896483735,1
152004241,2564.6808485359998,12811885.837443,0.37507269443849284,1
262375204,3520.801216114,14976400.832793402,0.4254565655162836,1
399120484,5776.466969112,17072865.8326674,0.478219167132923,0
400520169,6286.24420452,17519713.7506671,0.5833833593468604,0
267616881,5051.498014773,16270388.749454701,0.4898571977235432,0
583705600,7044.78644688,19479000.0,0.5007197696737045,0
402804900,3860.23702662,15989100.000668999,0.5440032089851584,0
1694145600,0.0,4390400.001371999,1.0,0
286624900,3676.71158191,15018320.832769,0.48314926968293553,1
54434884,2099.33899742,9594474.169126,0.3103769071288076,0
171348100,2725.5701511499997,13008187.5,0.42500783453462865,1
66471409,1656.239105985,9301214.163949,0.3680625288354547,1
366990649,6101.03994275,18526415.4160281,0.5343419881592695,0
360392256,6008.254342104,18287919.9993672,0.41209255842558423,0
133356304,3262.558328192,13333128.329484,0.4054167164892981,1
272250000,4408.8712635,15331250.00055,0.47585964912280704,0
256224049,4014.855907327,15366720.0,0.4072707205187459,1
125955729,3050.5925841119997,12859687.496259,0.3724427865115315,0
139240000,3594.2258380000003,13688000.0,0.439066265060241,0
138086001,3308.181919938,13190497.5,0.36247706697945803,0
133287025,3362.8835355250003,12872675.0,0.36640263039904347,0
1213755921,5832.9449726309995,12846881.25,1.0,0
1470262336,0.0,6646293.3320552,1.0,0
420742144,6495.911353152001,17640320.0,0.5528013721006207,0
78375609,2153.978775468,9989134.997049,0.3751901955902288,1
5329,-18.535233192,-103386.25,0.2855146096332616,1
622702116,5813.14634346,16084932.4991682,0.6275566197745186,0
70627216,2381.501534984,10067291.669468,0.3380150836156957,1
860894281,7313.705343815,14181483.3323553,0.8218277029184494,0
352613284,6107.208486468,17948638.3327074,0.4167111585691404,0
1677230116,0.0,4061271.66680318,1.0,0
228463225,4027.8860256149997,14850487.5,0.4101723272544755,0
259918884,4597.362401478001,16639247.494626,0.4359027633492624,1
209351961,2996.895213312,13407940.000482298,0.4269103534112869,1
435473424,5838.203590584,16677010.0006956,0.5401127134095807,0
287031364,5598.199477704,16814935.0,0.4824648941478366,0
1353283369,7801.581909262,10468967.0821071,1.0,0
1338535396,6015.536230902,8384291.6678862,1.0,0
514473124,4427.610822404,14563734.165910602,0.5840129043821131,1
1253726464,5794.128508128,12451813.3345136,1.0,0
453604804,4601.05645785,16124360.832623402,0.5397856720951818,1
151979584,3836.208264456,14012826.670776,0.43000122428991183,0
597215844,4602.877676286,16292000.000814598,0.6338877541095225,0
1373591844,11352.6205866,9728775.0,1.0,0
59830225,2406.913524925,9981372.919244999,0.37477525828525426,0
1114691769,6607.0553271240005,12826172.5011129,0.8828898648066822,0
126495009,3293.2436974320003,13337067.496251,0.3459544336799692,0
1242562500,8958.666945,14011875.0,0.8615384615384616,0
310182544,5010.274334968,17318466.6660796,0.3951365561559807,0
314281984,4952.231173759999,15770533.3327424,0.4691258433558228,1
124032769,2380.713178207,12538405.829621,0.3778164958804595,1
277955584,5169.006602976,16116266.6672224,0.495940412312906,0
408080401,5131.380730974,16186051.25,0.5255857091011734,0
180230625,3997.1891826749998,14666812.5,0.40019002375296914,1
370716516,6461.358442008,19045415.0006418,0.3702711100753515,0
353440000,5066.754235199999,18369166.66604,0.4396946564885496,0
128663649,2337.4285867050003,12855399.996219,0.37400837864337283,1
421398784,5935.976369248,17833700.0,0.4826740764955868,0
352387984,5457.7617438239995,15846696.6672924,0.4241268872960195,1
129709321,3024.297095883,12883806.25,0.406831096962304,0
260628736,4836.9957316479995,15982560.0,0.5051635708344885,0
287438116,3873.0079567899998,15717770.8327682,0.45617913427939816,1
299290000,5098.918787,15735791.66609,0.47054151624548735,1
293642496,5342.174954928,17128859.9994288,0.5262704565030146,0
728892004,7948.340250439999,15355112.5,0.5674925008332408,1
123988225,3306.0826392050003,13542943.75,0.4223239332644323,0
