wl_cv,fragile_share,spare_cap_cubed
0.3782797363298444,0.0,14329429649569
0.3255897055943056,0.0,638499803131
0.3944009756650771,0.0,6206172548633
0.3740893021908354,0.0,5212812929219
0.3530276094033918,0.0,1962044794359
0.33394746676581344,0.0,1955469687625
0.28391845179814634,0.0,3237194335257
0.36365648727024585,0.0,2012784850376
0.33500643393482554,0.0,7443430328125
0.35275733764679296,0.0,13865513485824
0.32296872885272915,0.0,10908552783752
0.3189962468093317,0.0,1558475172584
0.334776807792226,0.0,1131040390059
0.3376421348334191,0.0,8013207261331
0.3641022851344454,0.0,4410944000000
0.3466429130649372,0.0,11578454318367
0.3241667303108216,0.0,1919569026752
0.28508187903263116,0.0,2016613256104
0.3049676347125816,0.0,406869021000
0.09703932802546815,0.0,14025418392896
0.2910677961135922,0.0,9349924107763
0.23973622005777298,0.0,17077838059008
0.417143906859917,0.0,8408771095375
0.28874277703551354,0.0,8835080561217
0.37379594234689234,0.0,662142805696
0.362220508481878,0.0,38109446463808
0.0,0.0,67081783315968
0.28060967596883185,0.0,6634074439000
0.2771127300578463,0.0,9778378351104
0.29355892386732396,0.0,1312213091392
0.37640983601601313,0.0,1310775312384
0.2727976343425546,0.0,2678669443072
0.14285714190580848,0.0,39220826738176
0.2514427505204563,0.0,5320880035912
0.32726210946833595,0.0,1463681789864
0.4311590177524132,0.0,5812581592000
0.23877141529825177,0.0,10520734422528
0.38879229814816185,0.0,4056193651392
0.3575984918500525,0.0,713318800375
0.29273440789796323,0.0,1356204441509
0.40588708500262144,0.0,5072489352568
0.2703697007520831,0.0,339338109375
0.2720773769067044,0.0,5395286161819
0.3627717359441202,0.0,1762353169039
0.28494663749169397,0.0,2255306325544
0.3551019588324194,0.0,3498655174741
0.4020804404738184,0.0,4771328982875
0.30592557004544674,0.0,96260823287
0.2570075639514354,0.0,16706536606144
0.39048401762179014,0.0,1781241639848
0.29868508277262706,0.0,11908583413056
0.3537981967123246,0.0,11889819892224
0.43117627770569156,0.0,10007873875000
0.29078987208943313,0.0,2496637205496
0.2453887464375195,0.0,659184444927
0.27217760020211473,0.0,3640892143104
0.2753258763098396,0.0,3596344921161
0.3521174487111191,0.0,6286555362816
0.31639536280178526,0.0,3252975876513
0.2746710569992027,0.0,8452264653000
0.3303110120890006,0.0,8222837589504
0.4139863581693142,0.0,2927275422625
0.3951511846839699,0.0,2335168305163
0.3838074499904069,0.0,4464412682696
0.3874446406110883,0.0,2279122496000
0.25171704999036204,0.0,5639752000
0.39852869251603645,0.0,710448626467
0.2836047042967986,0.0,669003544936
0.3920532316658553,0.0,8495907930125
0.3235415927589975,0.0,6323414551488
0.320314102381382,0.0,8045686694872
0.2636407407176752,0.0,116000074133
0.30958246525454175,0.0,-105020434232
