order_id,distance_to_hyperplane,predicted_label,actual_label,prediction_probability,is_false_positive,is_false_negative,error_type
4570,-0.17019948322488432,0,1,0.4211396869087613,False,True,false_negative
118,-0.06087457077511971,0,1,0.462130917031696,False,True,false_negative
23989,-0.12439290713147244,0,1,0.4381630500290885,False,True,false_negative
11903,-0.9544001027005109,0,1,0.17958855662741238,False,True,false_negative
32148,-0.4695615685355463,0,1,0.3149196983363029,False,True,false_negative
20999,-0.45041797531548156,0,1,0.3212738156073014,False,True,false_negative
31860,-0.39321425211731054,0,1,0.3434169559205813,False,True,false_negative
20954,-0.06360541100838901,0,1,0.4610940377106395,False,True,false_negative
29699,-0.005768406191144493,0,1,0.4831316224498215,False,True,false_negative
20825,-0.8110225573082701,0,1,0.21420948883684116,False,True,false_negative
15066,-0.15700842596077536,0,1,0.42601438494795363,False,True,false_negative
36536,-0.04187605064164046,0,1,0.4693562706227933,False,True,false_negative
18433,-0.2578206650704047,0,1,0.38945577980256435,False,True,false_negative
36895,-0.805975993186145,0,1,0.21551222777608453,False,True,false_negative
174,-0.20691385457603673,0,1,0.407706947034912,False,True,false_negative
25096,-0.6084652368705932,0,1,0.27095657956620245,False,True,false_negative
17114,-0.031205225417132,0,1,0.47342230185181705,False,True,false_negative
24803,-0.2328203833741398,0,1,0.39836082910669496,False,True,false_negative
24197,-1.5505161217602463,0,1,0.0808137192982333,False,True,false_negative
24406,-0.36182597743212597,0,1,0.35374618897314997,False,True,false_negative
35821,-0.2475563452474674,0,1,0.3930978429356838,False,True,false_negative
39832,-0.18464157815399318,0,1,0.41583107506225764,False,True,false_negative
27730,-0.42452607824717603,0,1,0.33332235871712085,False,True,false_negative
36946,-0.07623784853002036,0,1,0.45630394088433873,False,True,false_negative
36432,-0.17573360050106857,0,1,0.4191018481258207,False,True,false_negative
26001,-0.6919746123129826,0,1,0.24646339592631408,False,True,false_negative
27097,-0.546943354352301,0,1,0.28994908591194574,False,True,false_negative
19996,-0.2054939713010171,0,1,0.40822248964275815,False,True,false_negative
20473,-0.6937727923277848,0,1,0.24595271920026274,False,True,false_negative
33214,-1.5712893087692024,0,1,0.07848365199805668,False,True,false_negative
21684,-0.0448058071644013,0,1,0.46824081629218084,False,True,false_negative
35834,-0.24035597815689158,0,1,0.3956644991246093,False,True,false_negative
24007,-0.1217850949073025,0,1,0.439139755263389,False,True,false_negative
26130,-0.3054349052784531,0,1,0.3728306226569574,False,True,false_negative
24066,-1.021202347808277,0,1,0.16501724861182712,False,True,false_negative
8484,-0.05368817294371553,0,1,0.464861669724557,False,True,false_negative
32872,-0.5666115263130465,0,1,0.2837921308468434,False,True,false_negative
19837,-0.09543010743221458,0,1,0.44904902489119314,False,True,false_negative
25765,-0.03731757768813537,0,1,0.47109263064379886,False,True,false_negative
32084,-0.4175649185241994,0,1,0.33554858840286134,False,True,false_negative
12692,-0.4546564714576036,0,1,0.319861155455846,False,True,false_negative
4317,-0.1353643819052266,0,1,0.43406216699133315,False,True,false_negative
39804,-0.4119603894073194,0,1,0.3373484024383107,False,True,false_negative
24106,-0.20837318211665234,0,1,0.4071774304628458,False,True,false_negative
31888,-0.7759399162608887,0,1,0.2233844757768439,False,True,false_negative
37738,-0.1827225756113151,0,1,0.4165346802797475,False,True,false_negative
39968,-0.5674145461584672,0,1,0.28354243547397456,False,True,false_negative
36355,-0.4769570125593603,0,1,0.31248327451404356,False,True,false_negative
16262,-0.3927641431390114,0,1,0.34356358753264293,False,True,false_negative
23840,-0.3475038657026417,0,1,0.35852935321137486,False,True,false_negative
19046,-0.1499899599238077,0,1,0.4286175546909682,False,True,false_negative
26525,-0.04739816200339675,0,1,0.4672541742545856,False,True,false_negative
32461,-1.108763779073719,0,1,0.14737350089632248,False,True,false_negative
24313,-0.4078269667606733,0,1,0.33868005925439126,False,True,false_negative
25940,-0.39275287927309677,0,1,0.34356725750759454,False,True,false_negative
26569,-0.8628426991541644,0,1,0.20116436774365376,False,True,false_negative
142,-0.38282252917665716,0,1,0.34681330218704515,False,True,false_negative
16437,-0.43513806194682303,0,1,0.3299481917030937,False,True,false_negative
6918,-0.2196389228718445,0,1,0.40310172071952916,False,True,false_negative
21521,-0.7336058033961663,0,1,0.23482396678670192,False,True,false_negative
16720,-0.229211836213274,0,1,0.39965563838581813,False,True,false_negative
39854,-0.7600486240720059,0,1,0.22763151952248925,False,True,false_negative
832,-0.22544357356721179,0,1,0.40101022783030843,False,True,false_negative
2403,-0.26913308757551846,0,1,0.38546516395108293,False,True,false_negative
17908,-0.40815123581609924,0,1,0.3385754589617355,False,True,false_negative
