0	102.235	56.515	41.275
1	86.36	55.88	34.29
2	65.405	52.705	41.91
3	78.74	52.07	26.67
4	52.705	45.085	39.37
5	56.515	46.355	31.115
6	55.88	45.72	30.48
7	71.12	49.53	20.955
8	113.03	25.4	25.4
9	66.04	48.26	22.86
10	101.6	30.48	23.495
11	66.04	48.26	22.225
12	58.42	38.1	30.48
13	53.34	43.18	26.67
14	66.04	41.275	21.59
15	48.895	37.465	31.115
16	60.96	45.72	20.32
17	51.435	34.925	31.115
18	76.2	93.98	7.62
19	73.66	93.98	7.62
20	66.04	41.275	18.415
21	48.26	33.655	30.48
22	48.26	33.02	29.845
23	71.12	40.64	15.24
24	48.26	31.115	28.575
25	43.815	30.48	28.575
26	40.64	35.56	26.035
27	50.8	93.98	7.62
28	101.6	25.4	13.97
29	49.53	33.02	20.955
30	45.085	36.195	20.955
31	43.18	27.94	27.94
32	45.72	54.61	13.335
33	53.975	38.735	15.875
34	48.26	33.02	20.32
35	48.26	33.02	19.685
36	43.18	33.02	20.32
37	60.96	43.815	10.795
38	35.56	27.94	27.94
39	40.64	26.035	26.035
40	35.56	31.75	24.13
41	55.88	38.1	12.7
42	53.34	41.275	12.065
43	66.04	38.1	10.16
44	47.625	33.655	15.875
45	40.64	30.48	20.32
46	40.64	36.195	16.51
47	34.29	28.575	24.765
48	46.355	22.86	22.86
49	133.35	13.335	13.335
50	48.26	33.02	14.605
51	76.2	18.415	14.605
52	92.71	26.67	8.255
53	40.64	31.115	15.875
54	32.385	27.94	21.59
55	45.72	22.86	17.78
56	102.87	13.335	13.335
57	33.02	25.4	20.955
58	41.275	30.48	13.335
59	48.26	33.02	10.16
60	50.8	27.94	10.795
61	12.7	12.7	90.17
62	48.895	35.56	8.255
63	88.9	12.7	12.7
64	36.83	20.32	18.415
65	38.1	27.94	12.7
66	36.195	22.86	15.875
67	35.56	43.18	8.255
68	40.64	30.48	10.16
69	30.48	21.59	17.78
70	34.29	27.94	12.065
71	34.29	24.13	13.97
72	12.446	15.494	53.34
73	40.64	22.86	10.16
74	30.48	24.13	12.7
75	38.1	30.48	7.62
76	25.4	20.32	16.51
77	34.29	24.13	8.89
78	30.48	22.86	10.16
79	29.21	21.59	10.795
80	31.75	24.765	8.255
81	25.4	17.78	13.335
82	31.75	24.13	7.62
83	30.48	24.13	6.35
84	33.655	24.13	5.715
85	25.4	17.78	8.255
86	25.4	17.78	7.62
87	26.035	17.78	5.715
88	23.495	16.51	5.715
89	120	120	120
