tall_item_share,volume_tail_ratio,fragile_share,flat_item_share,dim_l_p90_to_vh,spare_vol_per_item,bulky_item_share,dim_m_p90_to_vw,height_layer_pressure,footprint_sum_ratio,length_sum_pressure,pressure_product,max_dim_l_to_min_floor,count_vol_fill_interaction,load_param_max,dim_m_sum_to_vw,awkward_floor_share,dim_l_max_to_vl,width_dominant_share,dual_dominant_share
0.75,1.3649171270718232,0.0,0.0,1.0766666666666667,3036.125,0.0,0.64,2.1,1.8026666666666666,3.45,3.7856,1.32,3.6819555555555556,0,4.2,0.625,0.55,0.625,0.125
0.5714285714285714,1.4480662983425414,0.0,0.0,1.0266666666666668,615.0714285714286,0.07142857142857142,0.64,4.066666666666666,2.8473333333333333,5.35,11.579155555555555,1.32,11.321022222222222,0,7.44,0.6428571428571429,0.55,0.6428571428571429,0.07142857142857142
0.7777777777777778,1.7473015873015876,0.0,0.0,1.0666666666666667,2041.888888888889,0.1111111111111111,0.68,2.466666666666667,2.1213333333333333,3.95,5.232622222222222,1.28,5.3246,0,4.88,0.6666666666666666,0.5333333333333333,0.6666666666666666,0.2222222222222222
0.7,1.7343151693667151,0.0,0.0,1.0666666666666667,1733.9,0.1,0.644,2.9,2.1306666666666665,4.016666666666667,6.178933333333332,1.28,6.146888888888888,0,5.2,0.5,0.5333333333333333,0.5,0.2
0.7272727272727273,1.7560763888888888,0.0,0.0,1.0666666666666667,1138.090909090909,0.09090909090909091,0.68,3.0,2.678,4.783333333333333,8.033999999999999,1.36,7.9398,0,6.08,0.5454545454545454,0.5666666666666667,0.5454545454545454,0.2727272727272727
0.6,1.3963859020310632,0.0,0.0,1.07,1250.5,0.2,0.644,3.2666666666666666,2.188,3.966666666666667,7.147466666666667,1.32,7.221111111111112,0,5.44,0.6,0.55,0.6,0.2
0.6,1.307258064516129,0.0,0.0,1.07,1479.3,0.1,0.608,3.2333333333333334,2.0893333333333333,3.8666666666666667,6.755511111111111,1.32,6.712666666666667,0,5.36,0.6,0.55,0.6,0.1
0.6363636363636364,1.5256410256410255,0.0,0.0,1.0666666666666667,1147.8181818181818,0.09090909090909091,0.68,3.1,2.550666666666667,4.55,7.907066666666667,1.36,7.913644444444444,0,5.96,0.5454545454545454,0.5666666666666667,0.5454545454545454,0.2727272727272727
0.7777777777777778,1.8858934169279,0.0,0.0,1.0133333333333334,2169.4444444444443,0.1111111111111111,0.648,2.6,1.9486666666666668,3.8,5.066533333333334,1.28,5.095,0,4.5600000000000005,0.3333333333333333,0.5333333333333333,0.3333333333333333,0.1111111111111111
0.625,1.30625,0.0,0.0,1.0766666666666667,3003.0,0.0,0.6,2.433333333333333,1.5373333333333334,3.15,3.7408444444444444,1.32,3.7290666666666668,0,3.84,0.375,0.55,0.375,0.125
0.75,1.8799828178694156,0.0,0.0,1.0866666666666667,2772.25,0.0,0.6920000000000001,1.9666666666666666,2.052,3.65,4.0356,1.36,4.057244444444445,0,4.6,0.75,0.5666666666666667,0.75,0.125
0.8,1.772173913043478,0.0,0.0,1.0666666666666667,1159.4,0.1,0.684,3.0,2.4286666666666665,4.333333333333333,7.286,1.28,7.423555555555556,0,5.52,0.6,0.5333333333333333,0.6,0.2
0.5714285714285714,1.752777777777778,0.0,0.0,1.0466666666666666,744.2142857142857,0.0,0.68,3.7666666666666666,2.9046666666666665,5.666666666666667,10.94091111111111,1.36,10.758533333333332,0,7.16,0.5,0.5666666666666667,0.5,0.07142857142857142
0.45454545454545453,1.6449074074074075,0.0,0.0,1.0666666666666667,1819.1818181818182,0.0,0.68,2.8,2.267333333333333,4.25,6.348533333333332,1.36,6.108422222222222,0,5.8,0.5454545454545454,0.5666666666666667,0.5454545454545454,0.09090909090909091
0.8888888888888888,1.26641975308642,0.0,0.0,1.0733333333333333,1822.2222222222222,0.1111111111111111,0.648,2.6,2.1846666666666668,4.083333333333333,5.680133333333334,1.32,5.72,0,4.8,0.5555555555555556,0.55,0.5555555555555556,0.2222222222222222
