cross_sect_pressure,n_half_width,max_face_vratio
1.1013333333333333,5,0.224
2.1866666666666665,9,0.2946666666666667
1.3586666666666667,6,0.2773333333333333
1.5346666666666666,5,0.2773333333333333
1.6453333333333333,6,0.2773333333333333
1.8066666666666666,6,0.2946666666666667
1.7533333333333334,6,0.2946666666666667
1.7106666666666666,6,0.2773333333333333
1.3293333333333335,3,0.2773333333333333
1.1973333333333334,3,0.224
1.1280000000000001,6,0.264
1.68,6,0.2773333333333333
1.9320000000000002,7,0.24933333333333332
1.4733333333333334,6,0.24933333333333332
1.4106666666666667,5,0.2773333333333333
1.32,4,0.24933333333333332
1.76,7,0.264
1.6933333333333334,7,0.2946666666666667
1.996,7,0.264
0.9786666666666667,3,0.264
1.0813333333333333,4,0.2773333333333333
1.3653333333333335,5,0.2946666666666667
1.3733333333333333,4,0.2773333333333333
1.228,6,0.24933333333333332
1.984,6,0.2773333333333333
0.6013333333333334,4,0.224
0.224,1,0.224
1.4946666666666668,6,0.2946666666666667
1.5893333333333335,6,0.2946666666666667
1.9386666666666668,7,0.2946666666666667
1.8586666666666667,5,0.2773333333333333
1.5706666666666667,7,0.264
0.5013333333333333,2,0.2773333333333333
1.2906666666666669,6,0.264
2.106666666666667,7,0.2946666666666667
1.496,6,0.2773333333333333
1.5253333333333334,6,0.2946666666666667
1.8266666666666667,6,0.2946666666666667
2.086666666666667,7,0.2946666666666667
1.7533333333333334,8,0.264
1.44,6,0.2773333333333333
1.8,7,0.264
1.7746666666666668,7,0.2946666666666667
2.004,7,0.2946666666666667
1.5226666666666668,7,0.264
1.5613333333333335,4,0.2773333333333333
1.6066666666666667,5,0.2773333333333333
2.004,9,0.264
1.0226666666666666,4,0.264
1.7826666666666666,6,0.2773333333333333
1.336,5,0.2946666666666667
1.3466666666666667,4,0.24933333333333332
1.216,5,0.2773333333333333
1.6360000000000001,7,0.264
1.968,9,0.2946666666666667
1.6960000000000002,6,0.2946666666666667
1.6893333333333334,6,0.2946666666666667
1.5706666666666667,5,0.24933333333333332
1.7613333333333334,6,0.2946666666666667
1.7733333333333334,5,0.2946666666666667
1.3573333333333333,4,0.224
1.6893333333333334,6,0.2773333333333333
1.8653333333333335,5,0.2773333333333333
1.5506666666666666,5,0.2773333333333333
1.8,5,0.2773333333333333
2.376,10,0.2946666666666667
2.0973333333333333,6,0.2773333333333333
1.7466666666666668,8,0.264
1.3266666666666667,4,0.2773333333333333
1.568,6,0.2946666666666667
1.2266666666666668,6,0.224
1.9240000000000002,9,0.264
2.6373333333333333,10,0.264
1.376,6,0.2773333333333333
1.5453333333333334,4,0.264
1.3746666666666667,6,0.2773333333333333
1.764,7,0.264
1.688,7,0.264
1.576,6,0.2773333333333333
1.7253333333333334,7,0.264
1.28,7,0.264
2.001333333333333,8,0.2773333333333333
1.7946666666666666,8,0.264
1.9040000000000001,6,0.2773333333333333
1.9226666666666667,7,0.264
1.2146666666666668,3,0.2773333333333333
1.5933333333333333,8,0.2773333333333333
1.564,8,0.224
1.3866666666666667,7,0.224
1.356,4,0.224
1.4386666666666668,4,0.2773333333333333
1.4853333333333334,5,0.2773333333333333
1.2906666666666666,3,0.22
1.1373333333333333,4,0.264
0.16,1,0.16
1.3546666666666667,6,0.264
2.2186666666666666,8,0.2946666666666667
1.5146666666666668,7,0.264
1.724,8,0.264
1.4493333333333334,3,0.2773333333333333
1.5066666666666666,5,0.24933333333333332
1.7626666666666666,6,0.264
1.4173333333333333,5,0.264
1.5253333333333334,7,0.24933333333333332
2.033333333333333,7,0.2946666666666667
1.848,6,0.2773333333333333
1.9693333333333334,7,0.2946666666666667
1.968,7,0.2946666666666667
0.444,1,0.16
0.2773333333333333,1,0.2773333333333333
1.392,4,0.2773333333333333
1.812,8,0.264
2.4493333333333336,11,0.2946666666666667
1.3093333333333335,5,0.2946666666666667
2.0733333333333333,9,0.2946666666666667
0.8560000000000001,3,0.224
1.5053333333333334,5,0.24933333333333332
0.15866666666666668,1,0.15866666666666668
1.688,6,0.2946666666666667
1.54,5,0.264
1.4653333333333334,8,0.264
1.1933333333333334,4,0.264
1.6720000000000002,5,0.2773333333333333
0.4093333333333333,2,0.17066666666666666
0.3826666666666667,2,0.224
1.056,6,0.264
0.45866666666666667,1,0.224
1.1306666666666667,5,0.264
1.784,6,0.2773333333333333
0.9133333333333334,3,0.264
0.504,2,0.224
2.236,8,0.2946666666666667
0.6973333333333334,2,0.224
2.041333333333333,7,0.2946666666666667
0.632,1,0.224
1.5706666666666667,5,0.2946666666666667
1.4106666666666667,6,0.264
1.5746666666666667,6,0.264
1.552,5,0.2773333333333333
1.2106666666666668,4,0.264
1.704,7,0.2773333333333333
1.6266666666666667,5,0.24933333333333332
1.432,3,0.224
1.576,6,0.264
1.6,5,0.2946666666666667
1.7426666666666668,8,0.2946666666666667
1.66,6,0.2773333333333333
1.616,5,0.2773333333333333
1.3626666666666667,6,0.264
1.464,6,0.264
1.688,4,0.2773333333333333
1.0173333333333334,5,0.264
1.72,5,0.2773333333333333
1.0346666666666666,5,0.264
1.6746666666666667,6,0.264
1.3146666666666667,5,0.24933333333333332
1.5786666666666667,7,0.2946666666666667
2.044,6,0.2946666666666667
0.9306666666666668,5,0.16
1.9026666666666667,9,0.2946666666666667
1.7346666666666668,7,0.264
2.068,6,0.2773333333333333
1.568,7,0.2773333333333333
0.2346666666666667,0,0.16
1.6053333333333335,6,0.264
1.5413333333333334,7,0.264
1.9066666666666667,8,0.2946666666666667
1.5386666666666666,5,0.264
0.28,1,0.224
1.8266666666666667,6,0.2946666666666667
1.9373333333333334,5,0.2946666666666667
1.5253333333333334,6,0.2946666666666667
1.6680000000000001,9,0.2946666666666667
1.3866666666666667,4,0.264
1.82,5,0.24933333333333332
1.7693333333333334,7,0.2773333333333333
1.3226666666666667,5,0.264
1.7066666666666668,5,0.264
2.468,10,0.2946666666666667
1.172,2,0.24933333333333332
1.2146666666666666,3,0.24933333333333332
2.6626666666666665,9,0.2946666666666667
1.1320000000000001,5,0.264
0.384,2,0.224
1.5293333333333334,5,0.2946666666666667
1.588,7,0.264
0.456,2,0.224
2.2173333333333334,6,0.2946666666666667
1.624,5,0.2773333333333333
1.356,6,0.264
0.232,1,0.136
1.34,7,0.17066666666666666
0.4733333333333334,1,0.22
1.5,7,0.264
